Kata / Kalimat,Sentimen Data Asli,Sentimen Data Prediksi
hasil piala asia dendam balas,negatif,negatif
tournament team rankings update jepang uzbekistan iraq indonesia south korea vietnam qatar h saudi arabia china tajikistan kuwait australia thailand,positif,positif
timnasday jam sore,positif,positif
hebat timnasku,positif,positif
mimpi,positif,positif
terima kasih garuda muda juang main olimpiade anyway ucap selamat guinea aman jatah tiket olimpiade cabor bola next garuda muda,positif,positif
situs online baik percaya taut gacor daftar id gacor winrate garansi saldo rb minimal depo ribu bonus minggu nathan arhan taeyeon ridho korsel shin taeyong,positif,positif
prediksi togel oregon mei angka main colok bebas d amp top d top d top d shio harimau angka twins,positif,positif
gais mohon drop calo percaya nomor scam scam capek bangett chatin calo ujung ujung nya bingung nipu beneran,negatif,positif
afc asi cup final champions uzbekistanjapan,positif,positif
jumpa tribun utara kenkawan,positif,negatif
kondisi rumput gelora bung karno konser laga kualifikasi piala dunia indonesia vs irak,positif,positif
kondisi rumput sugbk bahan bicara media sosial konser nct dream tonton fans,positif,positif
kalah woi taut live streaming voli avc challenge cup wanita tim nasional voli putri indonesia vs kazakhstan live streamingnya,negatif,positif
halo baretoners siang kepo fitur speaker pakai ka rimar atas jumat berkah mimin spill fitur maxnb,positif,positif
mantap pln salur bantu tjsl program electrifiying marine bantu nelayan bangka belitung pangkas biaya operasional laut aaliyah guinea mbappe djarum princess,positif,negatif
penuh drama malam ini emosi lihat wasit ahjussi taeyong kasih kartu merah shibal saekkiya wasit emang wasit kemarin semangat,negatif,negatif
cetak sejarah target sty tim nasional indonesia gagal lolos olimpiade paris,negatif,negatif
lovely runner ep tayang gaess taut nya dibio,positif,positif
jadwal indonesia vs irak rebut juara piala asia,negatif,positif
indonesia kalah hormat kibar bendera tiang kualitas wasit,negatif,negatif
ft guenia indonesia,positif,positif
tiket tim nasional indonesia vs filipina ya upper garuda tinggal habis antri data bayar tiket email masuk biaya ktiket biaya bayar dm wts wtb,negatif,negatif
kali ajang indonesia kalah negara mazhab hanafi fase grup indonesia kalah kali negara mazhab hambali,negatif,negatif
woiiii gilakkkk wasit nyaa curanggggg,negatif,negatif
gilaakk barusan nonton ulang amp highlightnya deg deg an pol buanggaa tim nasional indonesia main bagus bgtt letsgooo finaallll mas jerome mas jerome skr,negatif,negatif
selamat garuda,positif,positif
alhamdulillah jumat berkah tim nasional did it sty ghamsamnidawe love,positif,positif
skuad garuda muda pulang hangat bangga raih tiket olimpiade terima kasih pssi suporter setia,positif,positif
